source,target,relation
CRMC_PS_CAP_CCS,CRMC_PS_CAP_BPFM,requires
CRMC_PS_CAP_CCST,T000,requires
CRMC_PS_CAP_CCST,CRMC_PS_CAP_CCS,requires
CRMC_PS_CAP_CDSQ,T000,requires
CRMC_PS_CAP_CDSQ,CRMC_PS_CAP_CDS,requires
CRMC_PS_CAP_CDSQ,CRMC_PS_CAP_CSSA,requires
CRMC_PS_CAP_CDST,T000,requires
CRMC_PS_CAP_CDST,CRMC_PS_CAP_CDS,requires
CRMC_PS_CAP_CSAT,T000,requires
CRMC_PS_CAP_CSAT,CRMC_PS_CAP_CSSA,requires
CRMC_PS_CAP_CSSA,T000,requires
CRMC_PS_CAP_CSSA,CRMC_PS_CAP_CTDS,requires
CRMC_PS_CAP_CSSA,CRMC_PS_CAP_BPFM,requires
CRMC_PS_CAP_CTDS,T000,requires
CRMC_PS_CAP_CTDT,T000,requires
CRMC_PS_CAP_CTDT,CRMC_PS_CAP_CTDS,requires
CRMC_PS_CAP_CTDW,T000,requires
CRMC_PS_CAP_CTDW,CRMC_PS_CAP_CTDS,requires
CRMC_PS_CAP_CTDW,CRMC_REQ_TYPE,requires
CRMC_PS_CAP_CTDW,SCMGCASETYPE,requires
CRMC_PS_CAP_CTTR,CRMC_PS_CAP_CTDS,requires
CRMC_PS_CAP_CTTR,SCMGCASETYPE,requires
CRMC_PS_CAP_T,T000,requires
CRMC_PS_CAP_T,CRMC_PS_CAP,requires
CRMC_PS_POSTKY_T,T000,requires
CRMC_PS_POSTKY_T,CRMC_PS_POST_KEY,requires
CRMC_PS_PREQ_CHK,T000,requires
CRMC_PS_PREQ_C_T,CRMC_PS_PREQ_CHK,requires
CRMC_PS_RPP_T,T000,requires
CRMC_PS_RPP_T,CRMC_PS_RPP,requires
CRMC_PS_SSPAP,T000,requires
CRMC_PS_SSPAPT,T000,requires
CRMC_PS_SSPAPT,CRMC_PS_SSPAP,requires
CRMC_PS_SSPD_BRP,T000,requires
CRMC_PS_SSPD_BRP,CRMC_PS_SSPAP,requires
CRMC_PS_SWITCH_V,T000,requires
CRMC_RISK_CL_T,CRMC_RISK_CL,requires
CRMC_SAREA_PROCT,T000,requires
CRMC_SAREA_PROCT,CRMC_PROC_TYPE,requires
CRMC_SF_PDF_DET,CRMC_PROC_TYPE,requires
CRMC_SRCL_ACS,T000,requires
CRMC_SRCL_ACS,CRMC_SRCL_CNDS,requires
CRMC_SRCL_ACSASG,CRMC_SRCL_ACS,requires
CRMC_SRCL_ACSASG,CRMC_SRCL_ACT,requires
CRMC_SRCL_ACSASG,CRMC_SRCL_CNDS,requires
CRMC_SRCL_ACS_T,T000,requires
CRMC_SRCL_ACS_T,CRMC_SRCL_ACS,requires
CRMC_SRCL_ACT,T000,requires
CRMC_SRCL_ACT_T,T000,requires
CRMC_SRCL_ACT_T,CRMC_SRCL_ACT,requires
CRMC_SRCL_CNDATR,T000,requires
CRMC_SRCL_CNDA_T,T000,requires
CRMC_SRCL_CNDA_T,CRMC_SRCL_CNDATR,requires
CRMC_SRCL_CNDMOD,T000,requires
CRMC_SRCL_CNDMOD,CRMC_SRCL_CNDS,requires
CRMC_SRCL_CNDS,T000,requires
CRMC_SRCL_CNDS_T,T000,requires
CRMC_SRCL_CNDS_T,CRMC_SRCL_CNDS,requires
CRMC_SRCL_DEF,T000,requires
CRMC_SRCL_DEF,CRMC_SRCL_TYPE,requires
CRMC_SRCL_DEF,CRMD_SERWI,requires
CRMC_SRCL_DEF,CRMC_SRCL_RSPF,requires
CRMC_SRCL_DEF,CRMC_SRCL_OWN,requires
CRMC_SRCL_DEF,CRMC_SRCL_FLW,requires
CRMC_SRCL_DEF,CRMC_SRCL_TRPF,requires
CRMC_SRCL_DEF,CRMC_SRQM_SDP,requires
CRMC_SRCL_DEF_T,T000,requires
CRMC_SRCL_DEF_T,CRMC_SRCL_DEF,requires
CRMC_SRCL_FLWASG,CRMC_SRCL_FLW,requires
CRMC_SRCL_FLWASG,CRMC_SRCL_ACS,requires
CRMC_SRCL_FLW_T,T000,requires
CRMC_SRCL_FLW_T,CRMC_SRCL_FLW,requires
CRMC_SRCL_OWN,T000,requires
CRMC_SRCL_OWN,CRMC_PARTNER_FCT,requires
CRMC_SRCL_OWN_T,T000,requires
CRMC_SRCL_OWN_T,CRMC_SRCL_OWN,requires
CRMC_SRCL_PRF,T000,requires
CRMC_SRCL_PRFSC,T000,requires
CRMC_SRCL_PRFSC,CRMC_SRCL_PRF,requires
CRMC_SRCL_PRFSC,CRMC_SRCL_DEF,requires
CRMC_SRCL_PRFTRX,T000,requires
CRMC_SRCL_PRFTRX,CRMC_PROC_TYPE,requires
CRMC_SRCL_PRFTRX,CRMC_SRCL_PRF,requires
CRMC_SRCL_PRF_T,T000,requires
CRMC_SRCL_PRF_T,CRMC_SRCL_PRF,requires
CRMC_SRCL_RSPF,T000,requires
CRMC_SRCL_RSPF_T,T000,requires
CRMC_SRCL_RSPF_T,CRMC_SRCL_RSPF,requires
CRMC_SRCL_STCTMP,T000,requires
CRMC_SRCL_STCTMP,CRMC_SRCL_STCT,requires
CRMC_SRCL_STCTMP,CRMC_PROC_TYPE,requires
CRMC_SRCL_STCTMP,TJ20,requires
CRMC_SRCL_STCTMP,TJ30,requires
CRMC_SRCL_STCT_T,T000,requires
CRMC_SRCL_STCT_T,CRMC_SRCL_STCT,requires
CRMC_SRCL_TRH,T000,requires
CRMC_SRCL_TRH_T,T000,requires
CRMC_SRCL_TRH_T,CRMC_SRCL_TRH,requires
CRMC_SRCL_TRPF,T000,requires
CRMC_SRCL_TRPF,CRMC_SRCL_TRH,requires
CRMC_SRCL_TRPF_T,T000,requires
CRMC_SRCL_TRPF_T,CRMC_SRCL_TRPF,requires
CRMC_SRCL_TYPE,T000,requires
CRMC_SRCL_TYPE_T,T000,requires
CRMC_SRCL_TYPE_T,CRMC_SRCL_TYPE,requires
ACSS4_C_CONFIG,T008,requires
TBACC_BAS_CAT,T000,requires
/SAPCND/T687,T000,requires
/SAPCND/T687O,T000,requires
/SAPCND/T687I,T000,requires
/SAPCND/T687I,/SAPCND/T687,requires
/SAPCND/T687I,/SAPCND/T687O,requires
/SAPCND/T687I,/SAPCND/T687OA,requires
/LIME/CUST_ICD,T000,requires
CCGLC_GVFILT,CCGLC_SCEN,requires
CCGLC_GVFILT,TCGL1,requires
PRCC_PROC_MODE,T000,requires
PRCC_PROC_MODE,/SAPCND/T681A,requires
PRCC_PROC_MODE,PRCC_COND_PPD,requires
/SAPCND/DD_T683S,T000,requires
/SAPCND/DD_T683S,/SAPCND/T681A,requires
/SAPCND/DD_T683S,/SAPCND/DD_T683C,requires
/SAPCND/DD_T683S,/SAPCND/DD_T683,requires
/SAPCND/DD_T683T,T000,requires
/SAPCND/DD_T683T,/SAPCND/T681A,requires
/SAPCND/DD_T683T,/SAPCND/DD_T683C,requires
/SAPCND/DD_T683T,/SAPCND/DD_T683,requires
VBIC_SERV_URLC,VBIC_GC_SERV,requires
/SAPCND/CNTXT_GR,T000,requires
/SAPCND/CNTXT_GR,/SAPCND/CONTEXT,requires
/SAPCND/CNTXT_GR,/SAPCND/GROUP,requires
FBICRC01000,T000,requires
FBICRC01000,FBRC0010C,requires
FBICRC01000,T881,requires
FBICRC01000,T009,requires
FBICRC01000,T004,requires
TBACC_BAS_TYPE_T,T000,requires
TBACC_BAS_TYPE_T,TBACC_BAS_TYPE,requires
J_2GLPP1,T000,requires
J_2GLPP1,T001,requires
J_2GLPP1,J_2GLPLP,requires
J_2GLPP1,J_2GLPLK,requires
J_2GLPP1,TSP03,requires
J_2GLPP1,J_2GLPP1,requires
/ATL/VTCURT,T000,requires
/ATL/VTCURT,TCURC,requires
J_2GLPMMOUT,T000,requires
J_2GLPMMOUT,T001,requires
J_2GLPMMOUT,T156,requires
/SAPCND/R3COMPAT,T000,requires
/SAPCND/R3COMPAT,/SAPCND/T681Z,requires
/SAPCND/R3COMPAT,/SAPCND/T685,requires
/SAPCND/R3COMPAT,/SAPCND/T681,requires
CCRCC_BW,T000,requires
CCRCC_BW,TCG81,requires
CCRCC_BW,T001W,requires
CCRCC_BW,T001L,requires
IEAM_TASK_LT,T001W,requires
IEAM_TASK_LT,IEAM_TASK_TYPE,requires
IEAM_TASK_LT,IEAM_TASK_FREQ,requires
CEFORME,T000,requires
CEFORME,TKES1,requires
/SCMB/TPRRGRTYT,/SCMB/TPRRGRTY,requires
/SSB/EVAL_VALUES,/SSB/EVALS,requires
FINSC_GRIRFLLWON,FINSC_GRIRSTATUS,requires
FINSC_GRIRSTATXT,FINSC_GRIRSTATUS,requires
FINS_MPROJ_NOTIF,FINS_MPROJECT,requires
C004,T000,requires
C004,T004,requires
C004,TVKO,requires
C007,T000,requires
C007,T004,requires
C015,T000,requires
C015,T004,requires
C015,T001,requires
C015,TWCBCONTRTYPE,requires
C018,T000,requires
C018,T004,requires
C018,TVKO,requires
C018,TVAU,requires
C019,T000,requires
C019,T004,requires
C019,TVKO,requires
C019,TVPT,requires
C022,T000,requires
C022,T004,requires
C022,T001,requires
C022,T687,requires
C495,T000,requires
C495,T004,requires
C495,T687,requires
C496,T000,requires
C496,T004,requires
C496,T687,requires
C499,T000,requires
C499,T004,requires
C499,J_3GLEIART,requires
C499,J_3GT370S,requires
C499,T687,requires
LRM_T_OT_C,T000,requires
LRM_T_OT_C,LRM_T_OC_OG,requires
SRAL_RECORD_T,SRAL_RECORD_DATA,requires
LRM_T_OC_OG_T,LRM_T_OC_OG,requires
LRM_T_OC_OG,T000,requires
LRM_T_OC_OG,LRM_T_OC_PC,requires
ICA_DST,ICA_DS,requires
FINCS_FSITGT,T000,requires
FINCS_FSITGTT,T000,requires
FINCS_FSITGTT,FINCS_FSITGT,requires
FARR_C_SHFT_RS_T,FARR_C_SHFT_RSON,requires
ICA_RCT,ICA_RC,requires
TF008,T000,requires
CVP_PROC_SWITCH,T000,requires
RFM_REFSTORES,T001W,requires
LOGBR_ISSTAXSIT,T000,requires
LOGBR_ISSTAXSITT,T000,requires
LOGBR_ISSTAXSITT,LOGBR_ISSTAXSIT,requires
J_3RF_PAYNUMT,T000,requires
J_3RF_PAYNUMT,J_3RF_PAYNUM,requires
FIAAPTD_VAL_KEY,T000,requires
FIAAPTD_VAL_KEY,T001,requires
FINSC_VAL_ACT,TACC_PRINCIPLE,requires
FARR_C_UICHRSN_T,FARR_C_UI_CHRSN,requires
ICA_RECON_CASET,ICA_RECON_CASE,requires
ICA_DOCTP_HT,ICA_DOCTP_H,requires
WLF_C_COMP_CODE,T000,requires
WLF_C_COMP_CODE,T001,requires
/SMFND/DSF10T,/SMFND/DSF10,requires
TF900,T000,requires
TF900,TF91F,requires
TFK8250T,TFK8250,requires
TFK8240REV,TFK8240R,requires
TFK8240RT,TFK8240R,requires
TFK8240T,TFK8240,requires
FAR_IPF_C_INTDAY,T000,requires
FAR_IPF_C_INTDAY,FIEB_MAPP_X_CTRL,requires
FAR_IPF_T_INTDAY,T000,requires
FAR_IPF_T_INTDAY,FAR_IPF_C_INTDAY,requires
FAR_IPF_T_INTDAY,FIEB_MAPP_X_CTRL,requires
OAA_CNC_PARTNER,T000,requires
FINS_BACL_PAGRPT,FINS_BACL_PAGRP,requires
CRMC_DIVICHAN,T000,requires
CRMC_DIVICHAN,TVTW,requires
CRMC_DIVICHAN,TSPA,requires
/SMFND/DSF20T,/SMFND/DSF20,requires
ICA_DOCTP_COMP_A,ICA_DOCTP_H,requires
ICA_METHOD_RULET,ICA_METHOD_RULE,requires
ICA_DS_FL,ICA_DS_FS,requires
ICA_DS_NAVT,ICA_DS_NAV,requires
ICA_FLTRCT,ICA_FLTRC,requires
ICA_METHODT,ICA_METHOD,requires
ICA_RC_RLT,ICA_RC_RL,requires
ICA_RECON_DGT,ICA_RECON_DG,requires
SAFT_PTC_SUM_INV,T000,requires
SAFT_PTC_SUM_INV,T001,requires
FINSC_FX_VAL_SET,TACC_PRINCIPLE,requires
FINSC_FX_VAL_SET,T003,requires
FINSC_FX_VAL_SET,TCURV,requires
/SSB/EVALS,/SSB/INDICATORS,requires
TFK_VT_TRCT,TFK_VT_TRC,requires
/PF1/T_PRTYPE,T000,requires
MDQ_MINEDRLSTST,MDQ_MINEDRLSTS,requires
EHFNDC_PHRS_CNTX,T000,requires
EHFNDC_PHRS_C_T,T000,requires
EHFNDC_PHRS_C_T,EHFNDC_PHRS_CNTX,requires
LOBM_QTY_PROP_T,T000,requires
LOBM_QTY_PROP_T,LOBM_QTY_PROP,requires
EHFNDC_GRPHC_COL,EHFNDC_REQ_PTTRN,requires
LOBM_QTY_PROP,T000,requires
FIJP_VATAGGRULET,FIJP_VATAGGRULE,requires
